"id","shop_location","shop_name","lon","lat","product","sales_qty","sales_revenue"
1,"Mlolongo","MG 4 phase 3 dreamland",36.951,-1.39264,"bits",6738,673800
2,"Umoja 2 and 3","Green Grocer Shop",36.901442,-1.282295,"bits",6369,636900
3,"Shauri Moyo","RAMANI SHOP 7068",36.849308,-1.296621,"bits",7681,768100
4,"Buruburu","DAUDI'S ENTERPRISES",36.875517,-1.276471,"bits",4473,447300
5,"Kangemi","Seraben supermarket-EA",36.748763,-1.266479,"bits",2629,262900
6,"Kayole","Eagle Services",36.912029,-1.276038,"bits",9706,970600
7,"Pipeline","Lucyron Mini Mart",36.889934,-1.315296,"bits",8996,899600
8,"Kahawa West","Premier Mart",36.904865,-1.18208,"bits",8139,813900
9,"Githurai 44","Danhu Enterprices",36.900807,-1.200401,"bits",4819,481900
10,"Kahawa","Jacaranda supermarket",36.895555,-1.189018,"bits",265,26500
11,"Thika","Chap Chap Mini Mart",37.06787,-1.03815,"bits",1467,146700
12,"Mukuru kwa Njenga","Muhindi Mweusi Supermarket-Mukuru kwa Njenga",36.887765,-1.319547,"bits",9852,985200
13,"Thika","Summer Poshomill",37.103723,-1.054361,"bits",8767,876700
14,"Lucky Summer","Nirova Investments",36.903541,-1.237947,"bits",6592,659200
15,"Kariobangi South","Phoenix Entertainment",36.884892,-1.270499,"bits",4279,427900
16,"Githurai 45","Unique JB Shop",36.915989,-1.20672,"bits",8692,869200
17,"Waithaka","Joskam",36.719967,-1.281038,"bits",955,95500
18,"Kayole","Step one shop",36.912136,-1.286572,"bits",2494,249400
19,"Githurai 45","Bidii Enterprises",36.93822,-1.21397,"bits",5821,582100
20,"Lucky Summer","Neema cereals B. Dogo",36.8834,-1.24,"bits",1711,171100
21,"Mwiki","Nyambo Dairy Mwiki",36.929465,-1.238338,"bits",5543,554300
22,"Dandora Phase 2","Wachege Shop",36.896489,-1.254767,"bits",6238,623800
23,"Mwiki","Raha General Shop",36.925549,-1.229502,"bits",1489,148900
24,"Maringo","DREAM PUB BUTCHERY",36.8548,-1.2944,"bits",6720,672000
25,"Kayole","Palace food merchants",36.916907,-1.271715,"bits",137,13700
26,"Kayole","Muhindi Mweusi Supermarket (Kayole)",36.914878,-1.281217,"bits",9351,935100
27,"Mowlem-Dandora","Miwa tatu merchants",36.902138,-1.265242,"bits",2953,295300
28,"Huruma","REE SCENTS BEAUTY SHOP",36.869037,-1.259632,"bits",9543,954300
29,"Kitengela","Ngwata Shop",36.957298,-1.471206,"bits",7145,714500
30,"Ndumbuini","Mama brian salon",36.722968,-1.255564,"bits",7984,798400
31,"Mlolongo","MG SHOP 5 MG ELECTRONICS & GAS",36.948353,-1.389159,"bits",2563,256300
32,"Ruai","Mashtech gas department",36.996761,-1.271607,"bits",9264,926400
33,"Mathare slum","Baba Jack",36.86033,-1.261237,"bits",7251,725100
34,"Mwiki","Pasals boutique",36.930245,-1.237488,"bits",4852,485200
35,"Mathare North","Digital Wave Solutions",36.867535,-1.252948,"bits",5447,544700
36,"Ruiru","Ebenezer shop (Ruiru Kihunguro)",36.961689,-1.159814,"bits",3573,357300
37,"Syokimau","Mambo Jambo (Syokimau)",36.941266,-1.367928,"bits",3086,308600
38,"Kariobangi South","Chetu Chema Enterprise",36.884485,-1.266378,"bits",748,74800
39,"Kangemi","Express Supermarket (Waruku)",36.75418,-1.26853,"bits",5785,578500
40,"Umoja Innercore and 1","Mambi Glassmart`",36.886585,-1.280421,"bits",7731,773100
41,"Ruai","Reliance energy mutalia",37.1121,-1.2739,"bits",5996,599600
42,"Umoja Innercore and 1","Igwe enterprise Umoja",36.882978,-1.280071,"bits",5015,501500
43,"Mwiki","Down Town Shop",36.918968,-1.233626,"bits",2751,275100
44,"Umoja 2 and 3","One Stop General Shop (Umoja 2 and 3)",36.896536,-1.267108,"bits",4026,402600
45,"Uthiru","Elex services shop",36.710997,-1.258915,"bits",4038,403800
46,"Kaloleni","SESSIA CEREALS SHOP",36.870171,-1.294508,"bits",2262,226200
47,"Kawangware","Diznay stores kawangware",36.750438,-1.28859,"bits",1301,130100
48,"Mwiki","Japata kerosene pump",36.933862,-1.233483,"bits",1278,127800
49,"Umoja 2 and 3","Danisora Investment Ltd (Umoja 2 and 3)",36.899265,-1.285142,"bits",5579,557900
50,"Athi River","Bliss Uniform Centre (Athi River)",36.9741,-1.45724,"bits",2754,275400
51,"Kayole","Sauti (A) Shop",36.919334,-1.268229,"bits",5647,564700
52,"Ngummo","Lucky Prince",36.799686,-1.311282,"bits",6966,696600
